% # columns="iteration, evaluation, void, void, void, xmean", seed=849541, Fri Sep 15 12:20:49 2023, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 7 0 0 0 -0.20708004521794246 -0.13469012459137275 0.6403995312393578
2 14 0 0 0 -0.3181611287222662 -0.06913644016359324 1.1138937030883522
3 21 0 0 0 -0.9868982792374983 0.08933584144605891 0.8589334259438804
4 28 0 0 0 -0.771399973394795 0.00053576997146082 0.5784214308488561
5 35 0 0 0 -0.360162363263107 -0.1053703538299799 -0.17577337742081545
6 42 0 0 0 -0.2722400760131426 -0.16996533774811107 -0.9781578513875389
7 49 0 0 0 -0.3089815615078281 -0.15536853670309042 -1.1168340794441884
8 56 0 0 0 -0.20790708319805595 -0.1362403917482406 -0.7731400774820667
9 63 0 0 0 -0.33929642044331215 -0.13697363882175018 -1.0547969056919582
10 70 0 0 0 -0.2813920036228703 -0.16661660212008847 -1.4237632055544434
11 77 0 0 0 -0.3743936281979822 -0.12671883465943948 -1.5024570379555713
12 84 0 0 0 -0.63328317034806 0.03379749243041133 -0.7927513518069977
13 91 0 0 0 -0.4191149939108371 -0.07384811223006205 -1.3050480598605116
14 98 0 0 0 -0.5446768186133507 0.022233031763255515 -0.7371227671500609
15 105 0 0 0 -0.3686211015280605 -0.11668709227995035 -1.3983902686934857
