% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=849541, Fri Sep 15 12:20:49 2023, <python>{}</python>
1 7 0.5225962863283181 1.0000333338888951 0.008818551840804585 8.8185518408045848e-03 0.2903089511835903 0.6786663277834755   
2 14 0.5615852577834558 1.3045302916633659 0.008818551840804585 2.7818506856395715e-02 0.29182798352803907 0.4934233563714911   
3 21 0.5997036147975789 1.9095620032847858 0.008818551840804585 1.2160785124323772e-01 0.24008180482440292 0.3317039711980122   
4 28 0.48517202864690095 2.3155755887215657 0.004465083849366192 4.4650838493661919e-03 0.23163885607756232 0.3400074315308311   
5 35 0.5228675297679841 2.5295515031898295 0.004465083849366192 8.7318238062883261e-02 0.13918183813057622 0.3167426638885555   
6 42 0.6206149247857868 3.244930105501915 0.004465083849366192 1.5752728513032287e-02 0.14714736819523289 0.5267723778942013   
7 49 0.5889516769221551 4.587012095814918 0.004465083849366192 3.5055648919555968e-02 0.13905612743443888 0.27694437914438186   
8 56 0.46388843340745045 5.309653317023762 0.004465083849366192 2.2511792011096907e-02 0.086204248482858 0.3544705508382401   
9 63 0.39173116186808127 6.307947657891968 0.00017342153365416854 1.7342153365416854e-04 0.03629413318809881 0.15771796783358974   
10 70 0.3512005225455596 6.867039922467289 0.00017342153365416854 2.9253620692584787e-03 0.03371746250966159 0.22802014442266258   
11 77 0.3040666829359009 9.153899741887386 0.00017342153365416854 1.5983696233351125e-02 0.022702208861407534 0.26031530432731353   
12 84 0.3497698279738046 8.71456179233862 0.00017342153365416854 3.0268812802862755e-03 0.058102011180060455 0.1811725006598868   
13 91 0.2885428555348456 12.578321369072839 0.00017342153365416854 5.0443901155299287e-03 0.027654257482780276 0.07726342796877053   
14 98 0.28021046737275457 14.546886556510458 0.00017342153365416854 6.1498879214910338e-04 0.014042466723194647 0.03585533275058728   
15 105 0.2497664226924877 17.8080401763508 0.00017342153365416854 1.6442410346946565e-03 0.008368915994893703 0.03701004855724147   
