% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=149337, Mon Sep 18 15:35:26 2023
1 7 -0.018295670963494666 -0.012471525932344664 0.050906773408492416 0.06620872815762144 0.9643053830296885 1.0012780580835745 1.0332266830954142
2 14 -0.15166726101935785 -0.12260218279270339 0.11177868946295622 0.16084056865485497 0.9643053830296885 1.0012780580835745 1.0332266830954142
3 21 -0.11317785091022366 -0.08800212848530008 0.0398206642656682 0.0572525394244007 0.9643053830296885 1.0012780580835745 1.0332266830954142
4 28 -0.19573926079261333 -0.1254944268271192 0.17476099102945808 0.20460129634948973 0.8191860024838059 1.0416996376399716 1.1152560953769113
5 35 -0.29758213727810445 -0.1861148004596316 0.17583023797624542 0.18501124730306492 0.8191860024838059 1.0416996376399716 1.1152560953769113
6 42 -0.4602298328208643 -0.3504162469161476 0.13561404419637116 0.1878105553291607 0.8191860024838059 1.0416996376399716 1.1152560953769113
7 49 -0.49654664668081494 -0.37317759424092894 0.05890405266940554 0.07956221586629772 0.7054009777946225 0.9995202364719749 1.2261193895414093
8 56 -0.6183982064426098 -0.49043337258181385 -0.035711950634883034 -0.012102977180035435 0.7054009777946225 0.9995202364719749 1.2261193895414093
9 63 -0.6801410361757626 -0.5257058428710919 -0.008225967847704876 0.009832130522086827 0.7054009777946225 0.9995202364719749 1.2261193895414093
10 70 -0.7842249155869908 -0.6201539851300731 -0.015289369477374283 0.02226123861660757 0.4567867840345329 0.9964586043610444 1.3410503658424726
11 77 -0.8340712628603505 -0.6594223070045124 -0.05068603812697091 -0.022422904356961836 0.4567867840345329 0.9964586043610444 1.3410503658424726
